chapeu;funciona;ajuste
002;1;-2
003;1;-12
004;1;+2
005;1;-12
006;1;-8
007;1;+4
008;1;+16
009;1;-6
010;1;-4
011;1;-8
012;1;0
013;1;+16
014;1;-16
015;1;-10
016;1;-10
017;1;-8
018;1;0
019;1;0
023;1;-2
025;1;0
026;1;+14
027;1;+6
028;1;-16
029;1;0
030;1;-12
031;1;0
032;1;0
033;1;-8
034;1;0
036;1;-8
037;1;-18
038;1;-8
039;1;-8
040;1;0
041;1;-10
042;1;-6
043;1;-14
045;1;+10
046;1;-8
047;1;+14
048;1;0
049;1;+8
050;1;+12
051;1;0
052;1;+14
053;1;+10
054;1;0
055;1;+20
056;1;0
058;1;+8
059;1;0
060;1;0
061;1;-18
063;1;-6
065;1;-6
067;1;-4
068;1;0
069;1;0
070;1;0
071;1;-14
072;1;0
073;1;0
074;1;-10
076;1;-10
079;1;-16
080;1;-6
081;1;-8
084;1;+24
085;1;+22
086;1;-6
087;1;-14
088;1;0
089;1;0
090;1;-18
092;1;-6
093;1;0
095;1;-6
096;1;0
097;1;+4
099;1;-6
100;1;-8
101;1;-12
102;1;0
104;1;-8
105;1;0
106;1;+14
107;1;0
108;1;-14
109;1;+18
110;1;-10
112;1;+20
113;1;+12
114;1;-4
115;1;-12
